trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-113.25274193555542,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-87.94589721821566,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-152.40724353828728,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-64.96060964758044,"{0: 21, 1: 4, 2: 3, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-94.2335748449819,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-69.15338074597419,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-70.35319424527486,"{0: 20, 1: 3, 2: 0, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,3,-219.25382468522815,"{0: 14, 1: 1, 2: 6, 3: 3, 4: 3}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-168.90754833782458,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-26.657151589941567,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-205.65406259706276,"{0: 17, 1: 0, 2: 2, 3: 2, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-64.6243608005538,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-105.92743286215081,"{0: 19, 1: 2, 2: 0, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,8,5.067116525994913,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-126.30643334910536,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,12.224144046430741,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,32.017145877384294,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,11,4.0243150163420776,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,1,-51.30898822647658,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 2}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,9,7.67414567461366,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,31.365711035819984,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,12,-27.169345941079225,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",25,0,33.84093268484894,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,1,32.93187538256425,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,14,8.793627115793292,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,11,26.653586084304322,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,22.950134668875645,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,19.68287041829796,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,11,-4.3282240624902935,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,3,27.79275890785715,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
