trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.95, 'e': 0.9025}",25,0,-37.43046468337777,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.95, 'e': 0.8573749999999999}",25,0,-142.39950005264902,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",1
3,False,"{'a': 0.95, 'e': 0.8145062499999999}",20,0,-161.05852951265325,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.95, 'e': 0.7737809374999998}",25,0,-31.111460861373313,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.95, 'e': 0.7350918906249998}",20,0,-142.78502221408968,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
6,False,"{'a': 0.95, 'e': 0.6983372960937497}",20,0,-97.57582423468325,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
7,False,"{'a': 0.95, 'e': 0.6634204312890623}",30,4,-67.56050873310772,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 1}",1
8,False,"{'a': 0.95, 'e': 0.6302494097246091}",20,0,-12.580106927027327,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.95, 'e': 0.5987369392383787}",20,13,0.994543221374578,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.95, 'e': 0.5688000922764597}",20,0,-11.712982157678466,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.95, 'e': 0.5403600876626367}",25,13,-26.381561097246244,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 0}",1
12,False,"{'a': 0.95, 'e': 0.5133420832795048}",35,23,8.289866336909984,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.95, 'e': 0.48767497911552954}",25,0,-59.34205418217223,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.95, 'e': 0.46329123015975304}",25,5,-23.1445752191204,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
15,False,"{'a': 0.95, 'e': 0.44012666865176536}",20,0,14.102720576466758,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.95, 'e': 0.4181203352191771}",20,6,-12.671971724128786,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
17,False,"{'a': 0.95, 'e': 0.3972143184582182}",20,0,8.865950624931827,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.95, 'e': 0.37735360253530725}",20,0,-5.89098295235043,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.95, 'e': 0.3584859224085419}",20,0,29.924160248402018,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.95, 'e': 0.3405616262881148}",25,0,-28.761541494796102,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
21,False,"{'a': 0.95, 'e': 0.323533544973709}",30,15,15.989690410333335,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.95, 'e': 0.3073568677250236}",20,1,18.23354023787812,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.95, 'e': 0.2919890243387724}",20,0,-105.09856127016653,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
24,False,"{'a': 0.95, 'e': 0.27738957312183377}",25,0,2.695358177695492,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
25,False,"{'a': 0.95, 'e': 0.26352009446574204}",25,0,-14.16849564091159,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
26,False,"{'a': 0.95, 'e': 0.2503440897424549}",25,0,-89.26917761096152,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
27,False,"{'a': 0.95, 'e': 0.23782688525533216}",35,16,1.8940013933202655,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
28,False,"{'a': 0.95, 'e': 0.22593554099256555}",20,11,-2.5013817044937143,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.95, 'e': 0.21463876394293727}",20,0,-12.125653275096337,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
