trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.35075024283447,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.47452608926963,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,11,-17.875556105240847,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.09475346123114,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.64270589850642,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-196.9211451792754,"{0: 15, 1: 2, 2: 8, 3: 4, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.06001534370725,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-78.81785152372854,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.93339489609147,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-106.10434144331138,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-113.90390750659681,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,5,-52.84645601128479,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-226.9086183367338,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.06992392668974,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-131.62207459749897,"{0: 17, 1: 6, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.3740766338018,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,6,-98.5464912398723,"{0: 15, 1: 2, 2: 3, 3: 4, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",35,0,-264.83605640283884,"{0: 16, 1: 3, 2: 11, 3: 2, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.52822338666246,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-40.11929900968261,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,3,-133.5605976816133,"{0: 19, 1: 5, 2: 5, 3: 2, 4: 1}",1
2,True,"{'a': 0.5, 'e': 1.0}",35,0,-168.86296726409327,"{0: 23, 1: 0, 2: 9, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-103.70880026284063,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-129.60735578666316,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-43.29709364121678,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-208.70967608826567,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",35,0,-201.56285003293644,"{0: 21, 1: 5, 2: 5, 3: 1, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-139.2012241275715,"{0: 11, 1: 6, 2: 6, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-77.25894951115842,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-60.61857475411294,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
